# Mean_Fitness,Std_Dev,Top_1_Fitness
1.821108780729891237e+02,3.334465955004574766e+01,1.220976096165406375e+02
1.774240994174646744e+02,2.675656556014315868e+01,1.220976096165406375e+02
1.700625183251115686e+02,2.749046659241351875e+01,1.220976096165406375e+02
1.855377692169224133e+02,3.044865295288871465e+01,1.136369082853391603e+02
1.801427321711383058e+02,2.489838061844569594e+01,1.136369082853391603e+02
1.836471846606114866e+02,2.917710022334041398e+01,1.136369082853391603e+02
1.849819032973990147e+02,3.261711548360273127e+01,8.523317368759329327e+01
1.712739600692848114e+02,3.267207326989144889e+01,8.523317368759329327e+01
1.635233765655566458e+02,3.246066664684489922e+01,8.523317368759329327e+01
1.535695803392721643e+02,3.735467317985168734e+01,8.523317368759329327e+01
1.609072322503879207e+02,4.250885983158130443e+01,8.523317368759329327e+01
1.651506818731059525e+02,4.130717868548325100e+01,8.452353824684617223e+01
1.550165834309506465e+02,4.918030716845671435e+01,8.452353824684617223e+01
1.536621840930313851e+02,3.627907822211905398e+01,8.452353824684617223e+01
1.696944253591869369e+02,4.100391453056231228e+01,6.920429042713792001e+01
1.604569309151917764e+02,4.011206585876672648e+01,6.920429042713792001e+01
1.792384727425726965e+02,3.449232630053249693e+01,6.920429042713792001e+01
1.615373650224611879e+02,4.216661003086672110e+01,6.920429042713792001e+01
1.519511731131596264e+02,4.067466546895717983e+01,6.920429042713792001e+01
1.472489864256035617e+02,4.323001510716314044e+01,6.469091204948182394e+01
1.593528763326968090e+02,3.805753029755677375e+01,6.469091204948182394e+01
1.574737390393780174e+02,3.052937778308678318e+01,6.469091204948182394e+01
1.602823709554390348e+02,3.546189220267243059e+01,6.469091204948182394e+01
1.485686990451375209e+02,4.325677694176178534e+01,6.016664110538941657e+01
1.402646993526417702e+02,4.321667558126583941e+01,5.988988514828405130e+01
1.512001356953305731e+02,3.220908556741110118e+01,5.988988514828405130e+01
1.591919089825815377e+02,3.112203922770695996e+01,5.988988514828405130e+01
1.491435527460056676e+02,2.776724166823853324e+01,5.988988514828405130e+01
1.456807409723353715e+02,3.613888151747429589e+01,5.988988514828405130e+01
1.357262106300146058e+02,3.529506401087951417e+01,5.988988514828405130e+01
1.336787372313888227e+02,4.322210312691029088e+01,4.771693409086680049e+01
1.469169533435269273e+02,4.171453606217875887e+01,4.771693409086680049e+01
1.132289135275413798e+02,4.220419394085612907e+01,4.771693409086680049e+01
1.346305495459267547e+02,4.472642561424402885e+01,4.771693409086680049e+01
1.415438054818373530e+02,4.611281163906038216e+01,4.771693409086680049e+01
1.306659382566836598e+02,4.510627880763598085e+01,4.771693409086680049e+01
1.250181129025204143e+02,4.862785404957847391e+01,4.771693409086680049e+01
1.498288472225592045e+02,4.247741746854043754e+01,4.771693409086680049e+01
1.505297626258970638e+02,4.792202623071269585e+01,4.771693409086680049e+01
1.485089411070619008e+02,4.245591558090813322e+01,4.771693409086680049e+01
1.425685423739971043e+02,3.519035680200035898e+01,4.771693409086680049e+01
1.476411451998439475e+02,3.596813881542903601e+01,4.771693409086680049e+01
1.596378870062728765e+02,4.777012059222874996e+01,4.771693409086680049e+01
1.232442376334894618e+02,4.110012823731743481e+01,4.771693409086680049e+01
1.355784042359984198e+02,3.269136225457051381e+01,4.771693409086680049e+01
1.506633148720530357e+02,3.833999877518080268e+01,4.771693409086680049e+01
1.427205393508616282e+02,5.043830432873333791e+01,4.726683307179903437e+01
1.572224727388552878e+02,5.126477787024480648e+01,4.726683307179903437e+01
1.406370705705885484e+02,5.194629866477419711e+01,4.726683307179903437e+01
1.288107786158664965e+02,3.353297252835362485e+01,4.726683307179903437e+01
1.277380836752480775e+02,2.728633495825649646e+01,4.726683307179903437e+01
1.308048694806040260e+02,3.277641898958353295e+01,4.726683307179903437e+01
1.198247230792153744e+02,3.967405506265598802e+01,4.726683307179903437e+01
1.194269597777098681e+02,4.576526409824704444e+01,3.912969473033908230e+01
1.140528698415349282e+02,4.742258097342359946e+01,3.912969473033908230e+01
1.192558152021732951e+02,4.660973035202240311e+01,3.912969473033908230e+01
1.355853104891190526e+02,4.478872384973635690e+01,3.912969473033908230e+01
1.231463531013144177e+02,4.213389539910030379e+01,3.912969473033908230e+01
1.267930072905435708e+02,4.458550391104098054e+01,3.912969473033908230e+01
1.240660776766766560e+02,4.580492506117724361e+01,3.912969473033908230e+01
1.359234995382371949e+02,4.947560465277693709e+01,3.912969473033908230e+01
1.351678810363186187e+02,4.589005898899267066e+01,3.912969473033908230e+01
1.261399901633385525e+02,4.412807478283679075e+01,3.413991988245994946e+01
1.158457131474288815e+02,5.245164532786714773e+01,3.413991988245994946e+01
1.223830658865767163e+02,5.314158888958854732e+01,3.413991988245994946e+01
1.267494366621516804e+02,6.088611492966384020e+01,3.413991988245994946e+01
1.179323160506595798e+02,6.434520697211276286e+01,3.332648861087542969e+01
1.228434380373650612e+02,5.392742375114786313e+01,3.332648861087542969e+01
1.323167704819811377e+02,5.768789474216410440e+01,3.332648861087542969e+01
1.138950451299827193e+02,5.451138157043137511e+01,3.332648861087542969e+01
1.058676556929107164e+02,4.778940639389580269e+01,3.332648861087542969e+01
1.056700418427026733e+02,4.846549464475874913e+01,3.332648861087542969e+01
1.261148254830117423e+02,4.666713365267249713e+01,3.332648861087542969e+01
1.053729665810536460e+02,6.107768449883664630e+01,3.330644279906005067e+01
1.255195961903297501e+02,6.055798184388329730e+01,3.330644279906005067e+01
